# New Recording 2.m4a

[00:00:00.000–00:00:02.000] 但是可能這部份已經成為
[00:00:02.000–00:00:05.000] Past tense和Perfect tense了
[00:00:05.000–00:00:07.000] 沒有理由現在吃下午茶
[00:00:07.000–00:00:09.000] 4點半 晚餐也要來了
[00:00:09.000–00:00:11.000] 哎呀
[00:00:11.000–00:00:13.000] 你肯定肚子餓了
[00:00:13.000–00:00:15.000] 4點多吃下午茶就不行了
[00:00:15.000–00:00:17.000] 好
[00:00:17.000–00:00:19.000] 這份是你的
[00:00:19.000–00:00:21.000] 好
[00:00:21.000–00:00:23.000] 剛才有一點點分別
[00:00:23.000–00:00:25.000] 這樣就可以了
[00:00:25.000–00:00:27.000] 好
[00:00:27.000–00:00:29.000] 我們現在就去
[00:00:29.000–00:00:31.000] 這個叫做
[00:00:31.000–00:00:33.000] 跟進事項報告
[00:00:33.000–00:00:35.000] 其實很多東西已經是Past tense了
[00:00:35.000–00:00:37.000] 所以去演一
[00:00:37.000–00:00:39.000] 其實已經發生完的事了
[00:00:39.000–00:00:41.000] 大家都已經發生了
[00:00:41.000–00:00:43.000] 演一也已經發生了
[00:00:43.000–00:00:45.000] 多謝田音幫我們完成了
[00:00:45.000–00:00:47.000] 選修科的簡介會
[00:00:47.000–00:00:49.000] 接著
[00:00:49.000–00:00:51.000] CFD也安排了同學
[00:00:51.000–00:00:53.000] 田音幫忙安排了
[00:00:53.000–00:00:55.000] 選修科的簡介會
[00:00:55.000–00:00:58.000] 同學在CLP的lunch section
[00:00:58.000–00:01:00.000] 也可以做一些引介
[00:01:00.000–00:01:01.000] 就謝謝了
[00:01:01.000–00:01:02.000] 好
[00:01:02.000–00:01:04.000] 接著其實已經是完成式了
[00:01:04.000–00:01:06.000] 中六那些估算已經交了
[00:01:06.000–00:01:08.000] 這個可以大家輕輕講一講
[00:01:08.000–00:01:10.000] 應該我在1月的時候
[00:01:10.000–00:01:15.000] 是send過一些交功課的情況給大家
[00:01:15.000–00:01:18.000] 主要都是音樂課沒有功課
[00:01:18.000–00:01:20.000] 只好做課堂而已
[00:01:20.000–00:01:22.000] 大家都可以找一下
[00:01:22.000–00:01:24.000] 找回當天的紀律
[00:01:24.000–00:01:25.000] 接著
[00:01:25.000–00:01:26.000] 大家可以看一看
[00:01:26.000–00:01:27.000] 有沒有一些特別的東西
[00:01:27.000–00:01:29.000] 你想拿出來大家一起聊一下
[00:01:29.000–00:01:31.000] 例如會不會有些東西遇到困難
[00:01:31.000–00:01:33.000] 例如好像追射功課
[00:01:33.000–00:01:36.000] 堂上一做不到就好像有點難處理
[00:01:36.000–00:01:38.000] 可以拿出來講一下
[00:01:38.000–00:01:44.350] 大家在想的時候
[00:01:44.350–00:01:47.350] 我就一直找回上次的資料給大家
[00:01:47.350–00:01:57.700] 又寫大家的英文一句
[00:01:57.700–00:01:58.700] 其實也沒有難度的
[00:01:58.700–00:01:59.700] 但是你交它就會交的了
[00:01:59.700–00:02:01.700] 欠功課的情況
[00:02:01.700–00:02:09.400] 但是我的手機因為沒了
[00:02:09.400–00:02:11.400] 我現在開不到快路到處
[00:02:11.400–00:02:12.400] 我應該開不到給大家了
[00:02:12.400–00:02:14.400] 大家自己看一看
[00:02:14.400–00:02:16.400] 我拉回上次的位置
[00:02:16.400–00:02:20.420] 我自己是開不到的
[00:02:20.420–00:02:22.420] 我要在那邊點到才開得到
[00:02:25.040–00:02:26.040] 如果上次有下載到
[00:02:26.040–00:02:27.040] 你應該看得到
[00:02:27.040–00:02:28.040] 如果上次沒下載到
[00:02:28.040–00:02:29.040] 應該看不見
[00:02:29.040–00:02:31.040] 但我換了
[00:02:31.040–00:02:32.040] 基礎也找不到
[00:02:32.040–00:02:33.040] 大家可以看一看
[00:02:33.040–00:02:35.040] 平時MBA三位同事
[00:02:35.040–00:02:36.040] 你可以拍一句
[00:02:36.040–00:02:37.040] 也沒有什麼困難
[00:02:37.040–00:02:38.040] 看下去也很合理
[00:02:38.040–00:02:40.040] 我看到數字不是特別很大
[00:02:40.040–00:02:41.040] 就比起很多其他科目
[00:02:41.040–00:02:43.040] 我覺得合理的數字
[00:02:43.040–00:02:44.040] 或者大家可以猜測一下
[00:02:44.040–00:02:46.040] 你看看各級收工課的情況
[00:02:46.040–00:02:48.040] 情況是怎樣的
[00:02:48.040–00:02:49.040] 都可以
[00:02:49.040–00:02:50.040] 就是收一些功課
[00:02:50.040–00:02:51.040] 對
[00:02:51.040–00:02:52.040] 他們說收一些功課
[00:02:52.040–00:02:54.040] 中一課
[00:02:54.040–00:02:55.040] 中一課OK
[00:02:55.040–00:02:56.040] 沒什麼問題
[00:02:56.040–00:02:57.040] 就打給你
[00:02:57.040–00:02:58.040] 因為你自己在課上
[00:02:58.040–00:02:59.040] 要這樣一回
[00:02:59.040–00:03:02.040] 開了個領頭
[00:03:02.040–00:03:04.040] 相差在他們記不記得
[00:03:04.040–00:03:05.040] 獎項要帶回來
[00:03:05.040–00:03:06.040] 還有給點心機
[00:03:06.040–00:03:07.040] 過後完成
[00:03:07.040–00:03:09.040] 我覺得很認真
[00:03:09.040–00:03:11.040] 因為有學習差異上
[00:03:11.040–00:03:13.040] 有些同學總是想再做得好一點
[00:03:13.040–00:03:15.040] 做得再好一點
[00:03:15.040–00:03:18.040] 那些是OK的情況嗎
[00:03:18.040–00:03:21.040] 還是
[00:03:21.040–00:03:24.040] 基本上的情況
[00:03:24.040–00:03:25.040] 跟Carol差不多
[00:03:25.040–00:03:27.040] 因為都是課上做
[00:03:27.040–00:03:29.040] 不過我發覺
[00:03:29.040–00:03:32.040] 形式上就不要給一份
[00:03:32.040–00:03:34.040] 最好拆散它
[00:03:34.040–00:03:36.040] 變成他們拿分
[00:03:36.040–00:03:38.040] 就不會說只是一個分
[00:03:38.040–00:03:40.040] 就定生死
[00:03:40.040–00:03:44.040] 這樣反而在整個過程裡面
[00:03:44.040–00:03:47.040] 他們掌握得會比較好一點
[00:03:47.040–00:03:49.040] 還有可能不清楚地看到
[00:03:49.040–00:03:52.040] 他們究竟他的缺點在哪裡
[00:03:52.040–00:03:56.040] 但是其實不是在那個功課裡面
[00:03:56.040–00:03:57.040] 其實功課書裡面
[00:03:57.040–00:03:58.040] 其實不是
[00:03:58.040–00:03:59.040] 就是幫他一件一件一件
[00:03:59.040–00:04:00.040] 做了一點
[00:04:00.040–00:04:02.040] 然後你可能看了他一點點
[00:04:02.040–00:04:03.040] 才再
[00:04:03.040–00:04:05.040] 所以我給分那裡
[00:04:05.040–00:04:06.040] 就會拆開
[00:04:06.040–00:04:08.040] 譬如一個Unit 1
[00:04:08.040–00:04:10.040] 我可能拆開兩至三件
[00:04:10.040–00:04:12.040] 這樣會獨立給分
[00:04:12.040–00:04:13.040] 還有提一提
[00:04:13.040–00:04:14.040] 他現在拿到多少
[00:04:14.040–00:04:16.040] 那變成他就會知道
[00:04:16.040–00:04:17.040] 你在做什麼
[00:04:17.040–00:04:19.040] 還有他覺得自己有什麼未做
[00:04:19.040–00:04:22.040] 而影響著下一個步驟
[00:04:22.040–00:04:23.040] 不是
[00:04:23.040–00:04:26.040] 因為我們有一個最後評分準則
[00:04:26.040–00:04:29.040] 那裡應該拆了他們做的
[00:04:29.040–00:04:31.040] 課前預備的分數
[00:04:31.040–00:04:33.040] 他們的作品每一部分
[00:04:33.040–00:04:35.040] 無論技巧的內容
[00:04:35.040–00:04:38.040] 那些拆小了分數的表
[00:04:38.040–00:04:40.040] 其實都是這樣做而已
[00:04:40.040–00:04:42.040] 不過我將那些東西
[00:04:42.040–00:04:44.040] 拆開它
[00:04:44.040–00:04:45.040] 我給他聽
[00:04:45.040–00:04:47.040] 那分數會怎樣嗎
[00:04:47.040–00:04:48.040] 功課
[00:04:48.040–00:04:49.040] 功課
[00:04:49.040–00:04:50.040] 遇習的那些
[00:04:50.040–00:04:51.040] 就當是功課
[00:04:51.040–00:04:52.040] 是的
[00:04:52.040–00:04:53.040] 遇習的那些也是
[00:04:53.040–00:04:56.040] 就是你會再將
[00:04:56.040–00:04:58.040] 最後一個任務
[00:04:58.040–00:05:00.040] 分開一件一件做嗎
[00:05:00.040–00:05:01.040] 不不不
[00:05:01.040–00:05:03.040] 會收功課還是課課
[00:05:03.040–00:05:05.040] 都是根據表做
[00:05:05.040–00:05:08.040] 不過我們會根據階段
[00:05:08.040–00:05:11.040] 去給分
[00:05:11.040–00:05:12.040] 你就是拆開它
[00:05:12.040–00:05:13.040] 可能階段性地
[00:05:13.040–00:05:14.040] 最後才一個
[00:05:14.040–00:05:15.040] 譬如標誌
[00:05:15.040–00:05:17.040] 它是分了兩個部份的
[00:05:17.040–00:05:19.040] 一個自己要手畫的layout
[00:05:19.040–00:05:22.040] 那個部份我會給個分
[00:05:22.040–00:05:24.040] 跟著後面finish artwork
[00:05:24.040–00:05:25.040] 是一個正稿的
[00:05:25.040–00:05:27.040] 那裡會給個分
[00:05:27.040–00:05:29.040] 其實都是根據那個表去出的
[00:05:29.040–00:05:31.040] 不過我會拆清楚
[00:05:31.040–00:05:32.040] 和告訴他們
[00:05:32.040–00:05:33.040] 就讓他們知道
[00:05:33.040–00:05:35.040] 但是你會照在表上圈
[00:05:35.040–00:05:37.040] 還是分在哪裡顯示到
[00:05:37.040–00:05:38.040] 給他們知道
[00:05:38.040–00:05:40.040] 表那裡會圈的
[00:05:40.040–00:05:42.040] 就是在表裡面圈的
[00:05:42.040–00:05:44.040] 但那個表因為那個表本身
[00:05:44.040–00:05:46.040] 它有時一發二十四分
[00:05:46.040–00:05:48.040] 一發十五分
[00:05:48.040–00:05:50.040] 變成它出來那個大分
[00:05:50.040–00:05:52.040] 你就要畫一條一發
