# New Recording.m4a

[00:00:00.000–00:00:01.600] 接着就約了這個DSC會
[00:00:01.600–00:00:02.600] 所以我就跟她說
[00:00:02.600–00:00:03.400] 我為了撞了我們
[00:00:03.400–00:00:04.400] 我們會議已經改過了
[00:00:04.400–00:00:06.100] 改了不可以任由我們
[00:00:06.100–00:00:07.500] 結果自然就說
[00:00:07.500–00:00:09.800] 可以讓我們用後再約我們
[00:00:09.800–00:00:10.800] 不過我今天也問她
[00:00:10.800–00:00:11.700] 什麼叫做用後
[00:00:11.700–00:00:13.200] 那個用後就是明天
[00:00:13.200–00:00:14.600] 或者回來的第一天
[00:00:14.600–00:00:16.200] 對 可能就是
[00:00:16.200–00:00:18.500] 因為接著已經什麼了
[00:00:18.500–00:00:19.900] 所以 甜音
[00:00:19.900–00:00:20.800] 現在只有甜音和我
[00:00:20.800–00:00:21.600] 是要開會
[00:00:21.600–00:00:22.600] 你需要去DSC嗎
[00:00:22.600–00:00:23.100] 不用
[00:00:23.100–00:00:25.800] 所以阿智會找我們
[00:00:25.800–00:00:26.700] 再約時間
[00:00:26.700–00:00:28.500] 而且聽說不止我們兩個
[00:00:28.500–00:00:29.800] 有其他人做其他活動
[00:00:29.800–00:00:31.300] 都是會一起約開會
[00:00:31.300–00:00:32.200] 會給阿智
[00:00:32.200–00:00:35.500] 我們接著有一點東西跟著你
[00:00:35.500–00:00:37.400] 咦 阿智
[00:00:37.400–00:00:39.400] 現在回來 很快
[00:00:39.400–00:00:41.400] 好 那我們一期約到就會到
[00:00:42.700–00:00:45.000] OK 我們一起約到
[00:00:45.000–00:00:45.800] 春天多謝你
[00:00:45.800–00:00:47.400] 因為你都約我們一起去DSC
[00:00:47.400–00:00:48.600] 今天可以一起去開會
[00:00:48.600–00:00:49.500] 我們會等你
[00:00:49.500–00:00:50.400] 將來都願意
[00:00:50.400–00:00:51.800] 我們待會藉著約到你的時間
[00:00:51.800–00:00:52.700] 我們可能有一點點
[00:00:52.700–00:00:54.800] 去做上學期的檢討
[00:00:54.800–00:00:57.100] 也都可能有一些下學期的指望
[00:00:57.100–00:00:58.200] 也都繼續幫助我們
[00:00:58.200–00:00:59.400] 讓我們有智慧
[00:00:59.400–00:01:01.600] 也都可以去到上學期
[00:01:01.600–00:01:02.500] 其實大家都累的
[00:01:02.500–00:01:03.800] 我們都強力的繼續幫助我們
[00:01:03.800–00:01:06.400] 讓我們努力去完成這個會議
[00:01:06.400–00:01:07.100] 也有處理
[00:01:07.100–00:01:08.700] 都是在我們中間
[00:01:08.700–00:01:10.900] 和我們一起去處理這個會議
[00:01:10.900–00:01:11.900] 我們繼續大力保守
[00:01:11.900–00:01:12.700] 簡單奔馀著祈求
[00:01:12.700–00:01:14.000] 奉祀聖明祈求
[00:01:14.000–00:01:15.100] 好
[00:01:15.100–00:01:18.900] 好 那我們就先看上一次的Minutes
[00:01:18.900–00:01:19.900] 上一次Minutes
[00:01:19.900–00:01:21.700] 就是Carmen幫我們剔的
[00:01:21.700–00:01:24.000] 大家都可以先說一說出來
[00:01:24.000–00:01:24.900] 如果沒有的話
[00:01:24.900–00:01:26.300] 我寫明了在她的網絡
[00:01:26.300–00:01:28.700] 她回來就可以拿著來說了
[00:01:28.700–00:01:29.800] 國民看我講了
[00:01:29.800–00:01:32.400] 國民因為要在樓上也看
[00:01:32.400–00:01:35.400] 即是和智慧他們一起開會
[00:01:35.400–00:01:37.700] 他們的會議其實由4點3
[00:01:37.700–00:01:38.500] 就到4點9
[00:01:38.500–00:01:40.200] 再由4點9到5點3
[00:01:40.200–00:01:42.500] 所以樓上的會議應該5點3才完的
[00:01:42.500–00:01:43.800] 除非快了
[00:01:43.800–00:01:46.900] 要不然國民就有機會要5點3打後才來
[00:01:46.900–00:01:49.100] 但是我們的會議有假設一個小時會完
[00:01:49.100–00:01:50.500] 所以應該是有機會
[00:01:50.500–00:01:52.400] 國民是加入我們今天的會議的
[00:01:52.400–00:01:53.100] 不要緊的
[00:01:53.100–00:01:54.400] 有什麼我回答不了的
[00:01:54.400–00:01:55.400] 我會放下再問
[00:01:55.400–00:01:57.400] 在群組再回應大家的
[00:01:57.400–00:01:57.900] OK
[00:01:57.900–00:01:58.400] 好
[00:01:58.700–00:01:59.600] 大家可以看出
[00:01:59.600–00:02:02.600] 如果你看到有什麼看下去
[00:02:02.600–00:02:05.700] 好像可以再寫得好一點
[00:02:05.700–00:02:08.860] 可以出聲
[00:02:08.860–00:02:10.160] 剛才說3點4
[00:02:10.160–00:02:11.960] 第一個關應該打漏這個字
[00:02:11.960–00:02:17.160] 時禮科和音樂科別有1200元元
[00:02:17.160–00:02:21.920] 時禮科和音樂科
[00:02:21.920–00:02:23.120] 是的
[00:02:23.120–00:02:24.120] 即是分別有
[00:02:24.120–00:02:24.520] 是的
[00:02:24.520–00:02:38.440] 分別有
[00:02:38.440–00:02:39.640] 就出聲了

