# New Recording 3.m4a

[00:00:00.000–00:00:05.000] 可能這首後期會印章大一點
[00:00:05.000–00:00:07.000] 還是我們在這裡複述給你
[00:00:07.000–00:00:10.000] 你就可以寫下金剛方和士藝坊的教學進度
[00:00:10.000–00:00:12.000] 或者計劃和學生表現
[00:00:12.000–00:00:15.000] 複述給你就可以連接到網絡
[00:00:15.000–00:00:16.000] 還是大家可以很快
[00:00:16.000–00:00:18.000] 一回合就只剩下一個圈
[00:00:18.000–00:00:19.000] 你可以說沒有特別
[00:00:19.000–00:00:20.000] 沒有特別就到時寫下
[00:00:20.000–00:00:22.000] 有特別很想摸出來說的
[00:00:22.000–00:00:24.000] 可以輕輕說一說
[00:00:24.000–00:00:28.000] 中一、中二、中四一塊說吧
[00:00:28.000–00:00:32.000] 中一其實今年的學生都還好的
[00:00:32.000–00:00:34.000] 其實剛剛都跟他們
[00:00:34.000–00:00:35.000] 我現在是說上學期
[00:00:35.000–00:00:37.000] 不要說下學期的事情
[00:00:37.000–00:00:38.000] 因為已經開始了
[00:00:38.000–00:00:39.000] 最好想說下學期的事情
[00:00:39.000–00:00:41.000] 上學期沒有什麼特別的
[00:00:41.000–00:00:44.000] 純粹就是跟他們做了一個教學專業現場
[00:00:44.000–00:00:47.000] 都合作的那些學生
[00:00:47.000–00:00:50.000] 整體上他們都是
[00:00:50.000–00:00:51.000] 都聽話的
[00:00:51.000–00:00:52.000] 就是要做的
[00:00:52.000–00:00:54.000] 還有一些班其實特別聰明的
[00:00:54.000–00:00:55.000] 很明顯的
[00:00:55.000–00:00:56.000] 例如哪一班聰明的
[00:00:56.000–00:00:58.000] 我們那一班是比較聰明的
[00:00:58.000–00:00:59.000] 我那一班是比較聰明的
[00:00:59.000–00:01:00.000] 對
[00:01:00.000–00:01:01.000] AD
[00:01:01.000–00:01:02.000] AD
[00:01:02.000–00:01:03.000] DSCC
[00:01:03.000–00:01:04.000] A聰明一點的
[00:01:04.000–00:01:06.000] 對我來說是音樂上的學生
[00:01:06.000–00:01:07.000] 他們會比人快一點
[00:01:07.000–00:01:08.000] 一說這些就明白了
[00:01:08.000–00:01:09.000] 一說
[00:01:09.000–00:01:10.000] 就是說一樣的
[00:01:10.000–00:01:11.000] 他明白後面那些東西
[00:01:11.000–00:01:12.000] 但是有些班是說十次
[00:01:12.000–00:01:13.000] 他都
[00:01:13.000–00:01:14.000] 怎樣啊
[00:01:14.000–00:01:15.000] 對
[00:01:15.000–00:01:16.000] 他跟我一樣
[00:01:16.000–00:01:18.000] 所以A班會教得快一點
[00:01:18.000–00:01:20.000] 可以跟他們做多一點延伸的事情
[00:01:20.000–00:01:21.000] 但是B、C、E對我來說
[00:01:21.000–00:01:22.000] 就差不多
[00:01:22.000–00:01:23.000] 其實
[00:01:23.000–00:01:24.000] 我覺得
[00:01:24.000–00:01:30.000] 在科上面
[00:01:30.000–00:01:33.000] 對班 2 B、C、D的差異
[00:01:33.000–00:01:34.000] 你有嚴重的
[00:01:34.000–00:01:35.000] 你看過
[00:01:35.000–00:01:38.000] 估計2 A是一班很乖很想學的學生
[00:01:39.000–00:01:42.000] 所以其實或許2 B、C、D
[00:01:42.000–00:01:44.000] 也用三、四課完畢的 !
[00:01:44.000–00:01:45.000] 總算是夠了
[00:01:45.000–00:01:48.000] 所以在二A的時候
[00:01:48.000–00:01:49.000] 我會想多一些東西教他們
[00:01:49.000–00:01:51.000] 但還是OK的
[00:01:51.000–00:01:52.000] C & D 也差不多的
[00:01:52.000–00:01:54.000] F 3она 3的 느낌이差不多
[00:01:54.000–00:02:04.000] 中四和中六
[00:02:04.000–00:02:08.000] 中四的情況基本上是一個新的組合
[00:02:08.000–00:02:10.000] 全部都是新結合的班
[00:02:10.000–00:02:12.000] 最初是很正確的
[00:02:12.000–00:02:14.000] 所以教書教得很爽
[00:02:14.000–00:02:16.000] 因為很安靜
[00:02:16.000–00:02:18.000] 現在熟絡了之後
[00:02:18.000–00:02:20.000] 就要做不太集中
[00:02:20.000–00:02:22.000] 但都可以
[00:02:22.000–00:02:28.000] 中五和中六都可以
[00:02:28.000–00:02:30.000] 沒什麼特別的
[00:02:30.000–00:02:31.000] 只有一段時間可以教
[00:02:31.000–00:02:32.000] 唯一有些特別的
[00:02:32.000–00:02:33.000] 就是中六平時我們會在
[00:02:33.000–00:02:34.000] Sparkle Square
